"Registration Authority Code","Country","Country Code","Jurisdiction (country or region)","International name of Register","Local name of Register","International name of organisation responsible for the Register","Local name of organisation responsible for the Register","Website","Comments"
"RA000144","Colombia","CO","Sur y Oriente del Tolima","Business register, the single bidders register, the non-profit organizations register","Registro Mercantil, Registro único de proponentes y Registro de entidades sin ánimo de lucro.","Sur y Oriente del Tolima Chamber of Commerce","Cámara de Comercio de Sur y Oriente del Tolima","www.ccsurortolima.org.co",""
"RA000145","Colombia","CO","Tuluá","Business register, the single bidders register, the non-profit organizations register","Registro Mercantil, Registro único de proponentes y Registro de entidades sin ánimo de lucro.","Tuluá Chamber of Commerce","Cámara de Comercio de Tuluá","www.camaratulua.org",""
"RA000146","Colombia","CO","Tumaco","Business register, the single bidders register, the non-profit organizations register","Registro Mercantil, Registro único de proponentes y Registro de entidades sin ánimo de lucro.","Tumaco Chamber of Commerce","Cámara de Comercio de Tumaco","www.cctumaco.org",""
"RA000147","Colombia","CO","Tunja","Business register, the single bidders register, the non-profit organizations register","Registro Mercantil, Registro único de proponentes y Registro de entidades sin ánimo de lucro.","Tunja  Chamber of Commerce","Cámara de Comercio de Tunja","www.ccomerciotunja.org.co",""
"RA000148","Colombia","CO","Urabá","Business register, the single bidders register, the non-profit organizations register","Registro Mercantil, Registro único de proponentes y Registro de entidades sin ánimo de lucro.","Urabá Chamber of Commerce","Cámara de Comercio de Urabá","www.ccuraba.org.co",""
"RA000149","Colombia","CO","Valledupar","Business register, the single bidders register, the non-profit organizations register","Registro Mercantil, Registro único de proponentes y Registro de entidades sin ánimo de lucro.","Valledupar Chamber of Commerce","Cámara de Comercio de Valledupar","www.ccvalledupar.org.co",""
"RA000150","Colombia","CO","Villavicencio","Business register, the single bidders register, the non-profit organizations register","Registro Mercantil, Registro único de proponentes y Registro de entidades sin ánimo de lucro.","Villavicencio Chamber of Commerce","Cámara de Comercio de Villavicencio","www.ccv.org.co",""
"RA000849","Comoros","KM","Comoros","","","","Banque Centrale des Comores","http://www.banque-comores.km/","to be used as a Validation Authority for funds"
"RA000151","Congo","CG","Congo","Business Formalities Centre","Centre de formalités des entreprises (CFE)","","","",""
"RA000829","Congo","CG","Congo","","","Bank of Central African States (BEAC)","Banque des États de l'Afrique Centrale (BEAC)","https://www.beac.int/","to be used as a Validation Authority for funds"
"RA000850","Congo","CG","Congo","","","","Agence de Régulation des Transferts de Fonds (ARTF)","https://www.artf.cg/","to be used as a Validation Authority for funds"
"RA000152","Cook Islands","CK","Cook Islands","Registry of Companies","","Financial Supervisory Commission","","www.fsc.gov.ck",""
"RA000153","Cook Islands","CK","Cook Islands","Companies Register","Companies Register","Cook Islands Registry Services (Ministry of Justice)","Cook Islands Registry Services (Ministry of Justice)","https://registry.justice.gov.ck/corp/search.aspx","new name of organisation and new website address"
"RA000154","Costa Rica","CR","Costa Rica","Register of Legal Persons","Registro de Personas Jurídicas","National Register of Costa Rica","Registro Nacional República de Costa Rica","http://www.rnpdigital.com/",""
"RA000852","Costa Rica","CR","Costa Rica","","","","Superintendencia General de Valores (Sugeval)","https://www.sugeval.fi.cr","to be used as a Validation Authority for funds"
"RA000853","Costa Rica","CR","Costa Rica","","","","Superintendencia General de Entidades Financieras (SUGEF)","https://www.sugef.fi.cr/","to be used as a Validation Authority for funds"
"RA000156","Croatia","HR","Croatia","Croatian Court Registry","Sudski registrar","Croatian Court Registry (Ministry of Justice)","Sudski registar Ministarstva pravosuđa Republike Hrvatske","https://sudreg.pravosudje.hr/registar/f?p=150:1",""
"RA000157","Croatia","HR","Croatia","Funds Registration","","Croatian Financial Services Supervisory Agency","Hrvatska Agencija za Nadzor Financijskih Usluga","https://hanfa.hr/investicijski-fondovi/registri/",""
"RA000659","Croatia","HR","Croatia","Crafts Register","Obrtni Registar","Ministry of the Economy, Entrepreneurship and Crafts","Ministarstvo gospodarstva poduzetništva i obrta","http://or.portor.hr/pretraga.htm",""
"RA000686","Croatia","HR","Croatia","Register of Business Entities","Registar poslovnih subjekata","Croatian bureau of statistics","Državni zavod za statistiku","www.dzs.hr",""
"RA000695","Croatia","HR","Croatia","Register of legal persons of the Catholic Church","Evidencija pravnih osoba Katoličke Crkve","Ministry of Public Administration","Ministarstvo uprave Republike Hrvatske","https://registri.uprava.hr/#!pravneOsobeKC","Only to be used for legal persons of the Catholic Church in Republic of Croatia"
"RA000696","Croatia","HR","Croatia","Register of Non-profit Organizations","Registar neprofitnih organizacija","Ministry of Finance","Ministarstvo financija Republike Hrvatske","https://banovac.mfin.hr/rnoprt/","Only to be used for non-profit organizations not registered in any of the other RA sources for Croatia"
"RA000705","Croatia","HR","Croatia","Register of Budget Users","Popis proračunskih korisnika","Ministry of Finance","Ministarstvo financija Republike Hrvatske","http://www.mfin.hr/hr/registar","To be used for Budget Users (units of local self-government and units of regional self-government; units of local self-government are municipalities and towns and the units of regional self-government are counties)"
"RA000158","Cuba","CU","Cuba","","Registro Estatal de Empresas y Unidades Presupuestadas","Statistics and Information National Office","Oficina Nacional de Estadística e Información","http://www.one.cu/ryc_reeup.htm",""
"RA000159","Cuba","CU","Cuba","","Registro Mercantil","Ministry of Justice","Ministerio de Justicia","https://www.minjus.gob.cu/es/servicios/registro-mercantil",""
"RA000854","Cuba","CU","Cuba","","","Central Bank of Cuba","Banco Central de Cuba","https://www.bc.gob.cu/","to be used as a Validation Authority for funds"
"RA000160","Curaçao","CW","Curaçao","Trade Register","Handelsregister","Chamber of Commerce and Industry Curaçao","Kamer van Koophandel & Nijverheid Curaçao","http://www.curacao-chamber.cw/services/registry/search-company",""
"RA000855","Curaçao","CW","Curaçao","","","Central Bank of Curaçao and Sint Maarten","Centrale Bank van Curaçao en Sint Maarten","https://www.centralbank.cw/functions/supervision/supervised-institutions","to be used as a Validation Authority for funds"
"RA000161","Cyprus","CY","Cyprus","Companies Section","","Department of Registrar of Companies and Official Receiver","","http://www.mcit.gov.cy/mcit/drcor/drcor.nsf/index_en/index_en?OpenDocument",""
"RA000162","Cyprus","CY","Cyprus","","","Cyprus Securities and Exchange Commission","","http://www.cysec.gov.cy/en-GB/home/",""
"RA000163","Czech Republic","CZ","Czech Republic","Commercial Register","Obchodní rejstřík","Ministry of Justice","Ministerstvo spravedlnosti","https://or.justice.cz/ias/ui/rejstrik",""
"RA000164","Czech Republic","CZ","Czech Republic","Federal Register","Nadační rejstřík","","","https://or.justice.cz/ias/ui/rejstrik",""
"RA000165","Czech Republic","CZ","Czech Republic","Register of Foundations","Nadační rejstřík","","","https://or.justice.cz/ias/ui/rejstrik",""
"RA000166","Czech Republic","CZ","Czech Republic","Register of Institutes","Rejstřík ústavů","","","https://www.justice.cz/",""
"RA000167","Czech Republic","CZ","Czech Republic","Register of Public Service Companies","Rejstřík obecně prospěšných společnost","","","https://www.justice.cz/",""
"RA000168","Czech Republic","CZ","Czech Republic","Register of Economic Entities","Registr ekonomických subjektů","Ministry of Finance","Ministerstvo financi","http://wwwinfo.mfcr.cz/ares/ares_es.html.en",""
"RA000694","Czech Republic","CZ","Czech Republic","Evidence of trust funds","Evidence svěřenských fondů","Ministry of Justice","Ministerstvo spravedlnosti","https://isesf.justice.cz/","To be used for trust funds"
"RA000856","Czech Republic","CZ","Czech Republic","Regulated institutions and registered financial market entities lists","Seznamy regulovaných a registrovaných subjektů finančního trhu","Czech National Bank (CNB)","Česká národní banka (ČNB)","https://apl.cnb.cz/apljerrsdad/JERRS.WEB07.INTRO_PAGE?p_lang=en","to be used as a Validation Authority for funds"
"RA000857","Czech Republic","CZ","Czech Republic","Trade Licensing Register","Živnostenský rejstřík","Ministry of Industry and Trade","Ministerstvo průmyslu a obchodu","https://www.rzp.cz/eng/index.html","to be used to verify information on sole proprietors and municipalities"
"RA000858","Czech Republic","CZ","Czech Republic","List of churches and religious organizations","Rejstřík církví a náboženských společností","Ministry of Culture","Ministerstvo kultury","https://www-cns.mkcr.cz/cns_internet/","to be used to verify information on churches and religious organizations"
"RA000155","Côte d'Ivoire","CI","Côte d'Ivoire","","Registre du Commerce et du Crédit Mobilier","","Greffe du Tribunal de Commerce","http://www.cepici.gouv.ci/en/",""
"RA000169","Democratic Republic of the Congo","CD","Democratic Republic of the Congo","Business Registry","Registre du Commerce et du Crédit Mobilier (RCCM)","","Guichet Unique de Création d’Entreprise (Ministere de la Justice et Droits Humains)","http://fr.guichetunique.cd/",""
"RA000851","Democratic Republic of the Congo","CD","Democratic Republic of the Congo","","","Central Bank of the Congo","Banque Centrale du Congo","https://www.bcc.cd/","to be used as a Validation Authority for funds"
"RA000170","Denmark","DK","Denmark","Central Business Register","Centrale Virksomhedsregister","Danish Business Authority","Erhvervsstyrelsen","https://danishbusinessauthority.dk/",""
"RA000171","Denmark","DK","Denmark","","","Financial Supervisory Authority","Finanstilsynet","https://virksomhedsregister.finanstilsynet.dk/virksomhedsomraader-en.html",""
"RA000860","Denmark","DK","Denmark","The parish portal","Sogneportalen","The Ministry of Ecclesiastical Affairs","Kirkeministeriet","https://sogn.dk/","to be used to verify information on churches and parishes"
"RA000172","Djibouti","DJ","Djibouti","","","Chamber of Commerce","Chambre de Commerce","http://www.ccd.dj/",""
"RA000861","Djibouti","DJ","Djibouti","","","The Central Bank of Djibouti","Banque Centrale de Djibouti","https://banque-centrale.dj/","to be used as a Validation Authority for funds"
"RA000173","Dominica","DM","Dominica","National Companies and Intellectual Property Registry","National Companies and Intellectual Property Registry","Companies & Intellectual Property Office (CIPO)","Companies & Intellectual Property Office (CIPO)","www.cipo.gov.dm",""
"RA000862","Dominica","DM","Dominica","","","Financial Services Unit (FSU)","Financial Services Unit (FSU)","https://fsu.gov.dm/","to be used as a Validation Authority for funds"
"RA000174","Dominican Republic","DO","Dominican Republic","","","National Office of Industrial Property","Oficina Nacional de la Propiedad Industrial (ONAPI)","http://onapi.gob.do/",""
"RA000175","Dominican Republic","DO","Dominican Republic","","Registro Mercantil","Chamber of Commerce and Production of Santo Domingo","Cámara de Comercio y Producción Santo Domingo","https://servicios.camarasantodomingo.do/consultaRm.aspx",""
"RA000863","Dominican Republic","DO","Dominican Republic","","","","Superintendencia del Mercado de Valores","https://simv.gob.do/","to be used as a Validation Authority for funds"
"RA000864","Dominican Republic","DO","Dominican Republic","","","Central Bank of the Dominican Republic","Banco Central de la República Dominica","https://www.bancentral.gov.do/","to be used as a Validation Authority for funds"
"RA000865","Dominican Republic","DO","Dominican Republic","","","The Superintendency of Banks","Superintendencia de Bancos","https://sb.gob.do/","to be used as a Validation Authority for funds"
"RA000176","Ecuador","EC","Ecuador","Registry of Commerce of Ecuador","Registro Mercantil de Ecuador","","Registro Mercantil de Ecuador","http://registromercantil.gob.ec/index.php",""
"RA000177","Ecuador","EC","Ecuador","National Registry of Statistics and Census","Registro Nacional de Estadística y Censos","","Instituto Nacional de Estadística y Censos","http://www.ecuadorencifras.gob.ec/sistema-integrado-de-consultas-redatam/",""
"RA000178","Ecuador","EC","Ecuador","Superintendence of Companies and Securities","","Superintendence of Companies and Securities","Superintendencia de Compañias, Valores y Seguros","https://www.supercias.gob.ec/portalscvs/",""
"RA000691","Ecuador","EC","Ecuador","","Registro Único de Contribuyentes (RUC)","","Servicio de Rentas Internas (SRI)","https://www.sri.gob.ec/web/guest/RUC",""
"RA000867","Ecuador","EC","Ecuador","","","","Superintendencia de Bancos","https://www.superbancos.gob.ec/bancos/","to be used as a Validation Authority for funds"
"RA000868","Ecuador","EC","Ecuador","","","Central Bank of Ecuador","Banco Central del Ecuador","https://www.bce.fin.ec/en/","to be used as a Validation Authority for funds"
"RA000179","Egypt","EG","Egypt","Commercial Register","","Cairo Chamber of Commerce","","http://en.cairochamber.org.eg/",""
"RA000869","Egypt","EG","Egypt","","","Central Bank of Egypt","","https://www.cbe.org.eg/en/Pages/default.aspx","to be used as a Validation Authority for funds"
"RA000870","Egypt","EG","Egypt","","","Financial Regulatory Authority","","https://fra.gov.eg/","to be used as a Validation Authority for funds"
"RA000180","El Salvador","SV","El Salvador","","Registro de Comercio","National Registers Center","Centro Nacional de Registros","http://www.cnr.gob.sv/registro-de-comercio/",""
"RA000871","El Salvador","SV","El Salvador","","","","Superintendencia del Sistema Financiero","https://ssf.gob.sv/","to be used as a Validation Authority for funds"
"RA000829","Equatorial Guinea","GQ","Equatorial Guinea","","","Bank of Central African States (BEAC)","Banque des États de l'Afrique Centrale (BEAC)","https://www.beac.int/","to be used as a Validation Authority for funds"
"RA000181","Estonia","EE","Estonia","Commercial Register","Äriregister","Centre of Registers and Information Systems","Registrite ja Infosüsteemide Keskus","https://ariregister.rik.ee/index.py?lang=eng",""
"RA000182","Estonia","EE","Estonia","","","Financial Supervision Authority","Finantsinspektsioon","http://www.fi.ee/index.php?id=769",""
"RA000543","Eswatini","SZ","Eswatini","Company Register","","Registrar of Companies","","www.gov.sz/index.php?option=com_content&view=article&id=522",""
"RA000872","Eswatini","SZ","Eswatini","","","Central Bank of Eswatini","Umntsholi Wemaswati","https://www.centralbank.org.sz/","to be used as a Validation Authority for funds"
"RA000873","Eswatini","SZ","Eswatini","","","Financial Services Regulatory Authority (FSRA)","","https://www.fsra.co.sz/","to be used as a Validation Authority for funds"
"RA000183","Ethiopia","ET","Ethiopia","Commercial Registration","","Ministry of Trade","","http://www.mot.gov.et/business-registration",""
"RA000874","Ethiopia","ET","Ethiopia","","","National Bank of Ethiopia","","https://nbe.gov.et/","to be used as a Validation Authority for funds"
"RA000184","Falkland Islands (Malvinas)","FK","Falkland Islands (Malvinas)","Companies Register","Companies Register","Registrar of Companies","Registrar of Companies","https://www.falklands.gov.fk/registry/",""
"RA000875","Falkland Islands (Malvinas)","FK","Falkland Islands (Malvinas)","","","Government Treasury","Government Treasury","https://www.falklands.gov.fk/finance/","to be used as a Validation Authority for funds"
"RA000185","Faroe Islands","FO","Faroe Islands","Company Register","","Company Registration Authority","Skráseting Føroya","http://www.skraseting.fo/en/companies/search-companies/",""
"RA000876","Faroe Islands","FO","Faroe Islands","","","Insurance Authority","Tryggingareftirlitið","https://www.tryggingareftirlitid.fo/fo/english/welcome","to be used as a Validation Authority for funds"
"RA000186","Federated States of Micronesia","FM","Federated States of Micronesia","Corporate Registry","","Registrar of Corporations","","https://www.roc.doj.gov.fm/",""
"RA000187","Fiji","FJ","Fiji","Companies and Business Names Registry","","Office of the Registrar of Companies (Ministry of Finance)","","https://mobile.digital.gov.fj/EServices/Index",""
"RA000877","Fiji","FJ","Fiji","","","Reserve Bank of Fiji","","https://www.rbf.gov.fj/","to be used as a Validation Authority for funds"
"RA000188","Finland","FI","Finland","The Business Information System (BIS)","Yritys- ja yhteisötietojärjestelmä (YTJ)","Finnish Patent and Registration Office","Patentti- ja Rekisterihallitus","http://www.prh.fi/en/kaupparekisteri.html",""
"RA000878","Finland","FI","Finland","Register of supervised entities","Valvottavaluettelo","Financial Supervisory Authority","Finanssivalvonta","https://www.finanssivalvonta.fi/en","to be used as a Validation Authority for funds"
"RA000189","France","FR","France","Register of Companies (Sirene)","Sirene","National Institute of Statistics and Economic Studies","Institut National de la Statistique et des Études Économiques","http://sirene.fr/sirene/public/accueil?sirene_locale=en",""
"RA000190","France","FR","France","","","Autorité des marchés financiers","Authority for the Financial Markets","http://www.amf-france.org/en_US/Recherche-avancee.html?isSearch=true&LANGUAGE=en&subFormId=dij&formId=GECO&DOC_TYPE=BDIF&langSwitch=true",""
"RA000192","France","FR","France","Register of Commerce and Companies","Registre du Commerce et des Sociétés","Infogreffe","Infogreffe","www.infogreffe.com",""
"RA000879","France","FR","France","","","","Autorité de Contrôle Prudentiel et de Résolution; Banque de France","https://acpr.banque-france.fr/","to be used as a Validation Authority for funds"
"RA000189","French Guiana","GF","French Guiana","Register of Companies (Sirene)","Sirene","National Institute of Statistics and Economic Studies","Institut National de la Statistique et des Études Économiques","http://sirene.fr/sirene/public/accueil?sirene_locale=en",""
"RA000192","French Guiana","GF","French Guiana","Register of Commerce and Companies","Registre du Commerce et des Sociétés","Infogreffe","Infogreffe","www.infogreffe.com",""
"RA000189","French Polynesia","PF","French Polynesia","Register of Companies (Sirene)","Sirene","National Institute of Statistics and Economic Studies","Institut National de la Statistique et des Études Économiques","http://sirene.fr/sirene/public/accueil?sirene_locale=en",""
"RA000192","French Polynesia","PF","French Polynesia","Register of Commerce and Companies","Registre du Commerce et des Sociétés","Infogreffe","Infogreffe","www.infogreffe.com",""
"RA000193","Gabon","GA","Gabon","","Registre du Commerce et du Crédit Mobilier (RCCM)","","Centre de Développement des Entreprises","http://www.cdegabon.com/",""
"RA000829","Gabon","GA","Gabon","","","Bank of Central African States (BEAC)","Banque des États de l'Afrique Centrale (BEAC)","https://www.beac.int/","to be used as a Validation Authority for funds"
"RA000195","Gambia","GM","Gambia","Companies Register","","Companies Division (Ministry of Justice)","","http://www.moj.gov.gm/companies",""
"RA000880","Gambia","GM","Gambia","","","Central Bank of The Gambia","Central Bank of The Gambia","https://www.cbg.gm/","to be used as a Validation Authority for funds"
"RA000196","Georgia","GE","Georgia","","","National Agency of Public Registry (Ministry of Justice of Georgia)","","www.napr.gov.ge",""
"RA000881","Georgia","GE","Georgia","","","National Bank of Georgia","საქართველოს ეროვნული ბანკი","https://nbg.gov.ge/en","to be used as a Validation Authority for funds"
"RA000197","Germany","DE","Aachen","Commercial Register","Handelsregister","Local Court Aachen","Amtsgericht Aachen","www.handelsregister.de",""
"RA000199","Germany","DE","Altenburg","Commercial Register","Handelsregister","Local Court Altenburg","Amtsgericht Altenburg","www.handelsregister.de",""
"RA000200","Germany","DE","Amberg","Commercial Register","Handelsregister","Local Court Amberg","Amtsgericht Amberg","www.handelsregister.de",""
"RA000201","Germany","DE","Ansbach","Commercial Register","Handelsregister","Local Court Ansbach","Amtsgericht Ansbach","www.handelsregister.de",""
"RA000202","Germany","DE","Apolda","Commercial Register","Handelsregister","Local Court Apolda","Amtsgericht Apolda","www.handelsregister.de",""
"RA000203","Germany","DE","Arnsberg","Commercial Register","Handelsregister","Local Court Arnsberg","Amtsgericht Arnsberg","www.handelsregister.de",""
"RA000204","Germany","DE","Arnstadt","Commercial Register","Handelsregister","Local Court Arnstadt","Amtsgericht Arnstadt","www.handelsregister.de",""
"RA000205","Germany","DE","Aschaffenburg","Commercial Register","Handelsregister","Local Court Aschaffenburg","Amtsgericht Aschaffenburg","www.handelsregister.de",""
"RA000206","Germany","DE","Augsburg","Commercial Register","Handelsregister","Local Court Augsburg","Amtsgericht Augsburg","www.handelsregister.de",""
"RA000207","Germany","DE","Aurich","Commercial Register","Handelsregister","Local Court Aurich","Amtsgericht Aurich","www.handelsregister.de",""
"RA000208","Germany","DE","Bad Hersfeld","Commercial Register","Handelsregister","Local Court Bad Hersfeld","Amtsgericht Bad Hersfeld","www.handelsregister.de",""
"RA000209","Germany","DE","Bad Homburg v. d. Höhe","Commercial Register","Handelsregister","Local Court Bad Homburg v. d. Höhe","Amtsgericht Bad Homburg v. d. Höhe","www.handelsregister.de",""
"RA000210","Germany","DE","Bad Kreuznach","Commercial Register","Handelsregister","Local Court Bad Kreuznach","Amtsgericht Bad Kreuznach","www.handelsregister.de",""
"RA000213","Germany","DE","Bad Oeynhausen","Commercial Register","Handelsregister","Local Court Bad Oeynhausen","Amtsgericht Bad Oeynhausen","www.handelsregister.de",""
"RA000214","Germany","DE","Bad Salzungen","Commercial Register","Handelsregister","Local Court Bad Salzungen","Amtsgericht Bad Salzungen","www.handelsregister.de",""
"RA000215","Germany","DE","Bamberg","Commercial Register","Handelsregister","Local Court Bamberg","Amtsgericht Bamberg","www.handelsregister.de",""
"RA000704","Germany","DE","Bavaria","Foundations Directory","Stiftungsverzeichnis","Bavarian State Office of Statistics","Bayerisches Landesamt für Statistik","http://www.stiftungen.bayern.de/","To be used for foundations in the German state of Bavaria (Bayern)"
"RA000216","Germany","DE","Bayreuth","Commercial Register","Handelsregister","Local Court Bayreuth","Amtsgericht Bayreuth","www.handelsregister.de",""
"RA000217","Germany","DE","Berlin-Charlottenburg","Commercial Register","Handelsregister","Local Court Berlin-Charlottenburg","Amtsgericht Berlin-Charlottenburg","www.handelsregister.de",""
"RA000727","Germany","DE","Berlin","Foundations Directory","Stiftungsverzeichnis","Senate Department for Justice, Consumer Protection and Anti-discrimination","Senatsverwaltung für Justiz, Verbraucherschutz und Antidiskriminierung","https://www.berlin.de/sen/justiz/service/stiftungsaufsicht/artikel.275316.php","To be used for foundations in Berlin"
"RA000218","Germany","DE","Bielefeld","Commercial Register","Handelsregister","Local Court Bielefeld","Amtsgericht Bielefeld","www.handelsregister.de",""
"RA000219","Germany","DE","Bochum","Commercial Register","Handelsregister","Local Court Bochum","Amtsgericht Bochum","www.handelsregister.de",""
"RA000220","Germany","DE","Bonn","Commercial Register","Handelsregister","Local Court Bonn","Amtsgericht Bonn","www.handelsregister.de",""
"RA000733","Germany","DE","Brandenburg","Foundations Directory","Stiftungsverzeichnis","Brandenburgian Ministry of the Interior","Ministerium des Innern und fur Kommunales Brandenburg","https://mik.brandenburg.de/sixcms/detail.php/bb1.c.243051.de","To be used for foundations in Brandenburg"
"RA000221","Germany","DE","Braunschweig","Commercial Register","Handelsregister","Local Court Braunschweig","Amtsgericht Braunschweig","www.handelsregister.de",""
"RA000772","Germany","DE","Braunschweig","Foundations Directory","Stiftungsverzeichnis","Regional Development Office Braunschweig","Amt für regionale Landesentwicklung Braunschweig","https://www.arl-bs.niedersachsen.de/startseite/grundbesitz_stiftungen/stiftungen/stiftungen-125836.html","to be used for foundations in that region"
"RA000222","Germany","DE","Bremen","Commercial Register","Handelsregister","Local Court Bremen","Amtsgericht Bremen","www.handelsregister.de",""
"RA000742","Germany","DE","Bremen","Foundations Directory","Stiftungsverzeichnis","Senator for the interior","Senator für Inneres","https://www.inneres.bremen.de/inneres/buerger_und_staat/stiftungen-2121","To be used for foundations in Bremen"
"RA000224","Germany","DE","Chemnitz","Commercial Register","Handelsregister","Local Court Chemnitz","Amtsgericht Chemnitz","www.handelsregister.de",""
"RA000225","Germany","DE","Coburg","Commercial Register","Handelsregister","Local Court Coburg","Amtsgericht Coburg","www.handelsregister.de",""
"RA000226","Germany","DE","Coesfeld","Commercial Register","Handelsregister","Local Court Coesfeld","Amtsgericht Coesfeld","www.handelsregister.de",""
"RA000227","Germany","DE","Cottbus","Commercial Register","Handelsregister","Local Court Cottbus","Amtsgericht Cottbus","www.handelsregister.de",""
"RA000233","Germany","DE","Düren","Commercial Register","Handelsregister","Local Court Düren","Amtsgericht Düren","www.handelsregister.de",""
"RA000234","Germany","DE","Düsseldorf","Commercial Register","Handelsregister","Local Court Düsseldorf","Amtsgericht Düsseldorf","www.handelsregister.de",""
"RA000228","Germany","DE","Darmstadt","Commercial Register","Handelsregister","Local Court Darmstadt","Amtsgericht Darmstadt","www.handelsregister.de",""
"RA000229","Germany","DE","Deggendorf","Commercial Register","Handelsregister","Local Court Deggendorf","Amtsgericht Deggendorf","www.handelsregister.de",""
"RA000230","Germany","DE","Dortmund","Commercial Register","Handelsregister","Local Court Dortmund","Amtsgericht Dortmund","www.handelsregister.de",""
"RA000712","Germany","DE","Dortmund","Foundations Directory for Dortmund","Dortmunder Stiftungsportal","Wirtschaftsförderung Dortmund","Economic Development Agency Dortmund","https://www.dortmunder-stiftungsportal.de/stiftungen/register","To be used for foundations in Dortmund, not listed in RA000711"
"RA000231","Germany","DE","Dresden","Commercial Register","Handelsregister","Local Court Dresden","Amtsgericht Dresden","www.handelsregister.de",""
"RA000232","Germany","DE","Duisburg","Commercial Register","Handelsregister","Local Court Duisburg","Amtsgericht Duisburg","www.handelsregister.de",""
"RA000235","Germany","DE","Eisenach","Commercial Register","Handelsregister","Local Court Eisenach","Amtsgericht Eisenach","www.handelsregister.de",""
"RA000236","Germany","DE","Erfurt","Commercial Register","Handelsregister","Local Court Erfurt","Amtsgericht Erfurt","www.handelsregister.de",""
"RA000238","Germany","DE","Eschwege","Commercial Register","Handelsregister","Local Court Eschwege","Amtsgericht Eschwege","www.handelsregister.de",""
"RA000239","Germany","DE","Essen","Commercial Register","Handelsregister","Local Court Essen","Amtsgericht Essen","www.handelsregister.de",""
"RA000247","Germany","DE","Fürth","Commercial Register","Handelsregister","Local Court Fürth","Amtsgericht Fürth","www.handelsregister.de",""
"RA000240","Germany","DE","Flensburg","Commercial Register","Handelsregister","Local Court Flensburg","Amtsgericht Flensburg","www.handelsregister.de",""
"RA000241","Germany","DE","Frankfurt (Oder)","Commercial Register","Handelsregister","Local Court Frankfurt (Oder)","Amtsgericht Frankfurt (Oder)","www.handelsregister.de",""
"RA000242","Germany","DE","Frankfurt am Main","Commercial Register","Handelsregister","Local Court Frankfurt am Main","Amtsgericht Frankfurt am Main","www.handelsregister.de",""
"RA000243","Germany","DE","Freiburg","Commercial Register","Handelsregister","Local Court Freiburg","Amtsgericht Freiburg","www.handelsregister.de",""
"RA000770","Germany","DE","Freiburg","Foundations Directory","Stiftungsverzeichnis","Administrative Region Freiburg","Regierungspräsidium Freiburg","http://www.rp.landbw.de/stvz/apex/f?p=110:1::NO:::P1_RP:FRE","to be used for foundations in that region"
"RA000244","Germany","DE","Friedberg (Hessen)","Commercial Register","Handelsregister","Local Court Friedberg (Hessen)","Amtsgericht Friedberg (Hessen)","www.handelsregister.de",""
"RA000245","Germany","DE","Fritzlar","Commercial Register","Handelsregister","Local Court Fritzlar","Amtsgericht Fritzlar","www.handelsregister.de",""
"RA000246","Germany","DE","Fulda","Commercial Register","Handelsregister","Local Court Fulda","Amtsgericht Fulda","www.handelsregister.de",""
"RA000253","Germany","DE","Göttingen","Commercial Register","Handelsregister","Local Court Göttingen","Amtsgericht Göttingen","www.handelsregister.de",""
"RA000257","Germany","DE","Gütersloh","Commercial Register","Handelsregister","Local Court Gütersloh","Amtsgericht Gütersloh","www.handelsregister.de",""
"RA000249","Germany","DE","Gelsenkirchen","Commercial Register","Handelsregister","Local Court Gelsenkirchen","Amtsgericht Gelsenkirchen","www.handelsregister.de",""
"RA000250","Germany","DE","Gera","Commercial Register","Handelsregister","Local Court Gera","Amtsgericht Gera","www.handelsregister.de",""
"RA000372","Germany","DE","Germany","Company Register","Unternehmensregister","Bundesanzeiger","Bundesanzeiger Verlag","https://www.unternehmensregister.de","IMPORTANT: when this source is used, the name of the local court must be added to the field BUSINESS REGISTER ENTITY ID"
"RA000373","Germany","DE","Germany","","","Federal Financial Supervisory Authority","Bundesanstalt für Finanzdienstleistungsaufsicht","https://www.bafin.de/EN/Aufsicht/unternehmen_node_en.html",""
"RA000663","Germany","DE","Germany","","","Federal Statistical Office","Statistisches Bundesamt","https://www.statistikportal.de/de/produkte/gemeindeverzeichnis","to be used to authenticate territorial entities like towns, municipalities in Germany"
"RA000764","Germany","DE","Germany","Official Nationwide Register Of Lawyers","Bundesweiten Amtlichen Anwaltsverzeichnis","Federal Bar Association","Bundesrechtsanwaltskammer","https://www.bea-brak.de/bravsearch/search.brak","to be used for lawyers"
"RA000765","Germany","DE","Germany","Official directory of tax advisors","Amtliches Steuerberaterverzeichnis","Federal Chamber of Tax Consultants","Bundessteuerberaterkammer (BStBK)","https://www.bstbk.de/de/","to be used for tax consultants"
"RA000766","Germany","DE","Germany","Register of Statutory Auditors","Berufsregister für Wirtschaftsprüfer und Wirtschaftsprüfungsgesellschaften","Central Chamber of Public Accountants","Wirtschaftsprüferkammer (WPK)","https://www.wpk.de/eng/","to be used for auditors"
"RA000251","Germany","DE","Gießen","Commercial Register","Handelsregister","Local Court Gießen","Amtsgericht Gießen","www.handelsregister.de",""
"RA000252","Germany","DE","Gotha","Commercial Register","Handelsregister","Local Court Gotha","Amtsgericht Gotha","www.handelsregister.de",""
"RA000255","Germany","DE","Greiz","Commercial Register","Handelsregister","Local Court Greiz","Amtsgericht Greiz","www.handelsregister.de",""
